DATE,OUVERTURE_1,FERMETURE_1
2021-06-05,18:20:00,22:20:00
2021-06-06,,
2021-06-06,06:40:00,10:40:00
2021-06-06,19:05:00,23:05:00
2021-06-07,,
2021-06-07,07:20:00,11:20:00
2021-06-07,19:40:00,23:40:00
2021-06-08,,
2021-06-08,08:00:00,12:00:00
2021-06-08,20:15:00,
2021-06-09,,00:15:00
2021-06-09,08:35:00,12:35:00
2021-06-09,20:45:00,
2021-06-10,,00:45:00
2021-06-10,09:10:00,13:10:00
2021-06-10,21:20:00,
2021-06-11,,01:20:00
2021-06-11,09:45:00,13:45:00
2021-06-11,21:55:00,
2021-06-12,,01:55:00
2021-06-12,10:20:00,14:20:00
2021-06-12,22:30:00,
2021-06-13,,02:30:00
2021-06-13,11:00:00,15:00:00
2021-06-13,23:05:00,
2021-06-14,,03:05:00
2021-06-14,11:40:00,15:40:00
2021-06-14,23:45:00,
2021-06-15,,03:45:00
2021-06-15,12:20:00,16:20:00
2021-06-15,,
2021-06-16,00:25:00,04:25:00
2021-06-16,13:05:00,17:05:00
2021-06-16,,
2021-06-17,01:15:00,05:15:00
2021-06-17,14:05:00,18:05:00
2021-06-17,,
2021-06-18,02:15:00,06:15:00
2021-06-18,15:15:00,19:15:00
2021-06-18,,
2021-06-19,,
2021-06-19,03:25:00,07:25:00
2021-06-19,16:25:00,20:25:00
2021-06-20,,
2021-06-20,04:40:00,08:40:00
2021-06-20,17:30:00,21:30:00
2021-06-21,,
2021-06-21,05:45:00,09:45:00
2021-06-21,18:25:00,22:25:00
2021-06-22,,
2021-06-22,06:40:00,10:40:00
2021-06-22,19:10:00,23:10:00
2021-06-23,,
2021-06-23,07:35:00,11:35:00
2021-06-23,20:00:00,00:00:00
2021-06-24,,
2021-06-24,08:25:00,12:25:00
2021-06-24,20:50:00,
2021-06-25,,00:50:00
2021-06-25,09:20:00,13:20:00
2021-06-25,21:35:00,
2021-06-26,,01:35:00
2021-06-26,10:10:00,14:10:00
2021-06-26,22:25:00,
2021-06-27,,02:25:00
2021-06-27,11:00:00,15:00:00
2021-06-27,23:15:00,
2021-06-28,,03:15:00
2021-06-28,11:50:00,15:50:00
2021-06-28,,
2021-06-29,00:05:00,04:05:00
2021-06-29,12:40:00,16:40:00
2021-06-29,,
2021-06-30,00:50:00,04:50:00
2021-06-30,13:30:00,17:30:00
2021-06-30,,
2021-07-01,01:45:00,05:45:00
2021-07-01,14:25:00,18:25:00
2021-07-01,,
2021-07-02,02:40:00,06:40:00
2021-07-02,15:10:00,19:10:00
2021-07-02,,
2021-07-03,,
2021-07-03,03:30:00,07:30:00
2021-07-03,16:15:00,20:15:00
2021-07-04,,
2021-07-04,04:40:00,08:40:00
2021-07-04,17:20:00,21:20:00
